,SP500,NASDAQ,Dow,Russell2000,Euro50,DAX,CAC,ISEQ20,Cash
2017-11,10.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
2017-12,30.0,10.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0
2018-01,0.0,30.0,10.0,0.0,30.0,0.0,30.0,0.0,0.0
2018-02,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2018-03,0.0,0.0,0.0,30.0,30.0,10.0,0.0,30.0,0.0
2018-04,0.0,0.0,0.0,0.0,30.0,30.0,30.0,10.0,0.0
2018-05,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2018-06,30.0,30.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0
2018-07,10.0,0.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0
2018-08,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2018-09,30.0,0.0,30.0,0.0,10.0,0.0,30.0,0.0,0.0
2018-10,30.0,0.0,30.0,0.0,10.0,0.0,0.0,30.0,0.0
2018-11,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
2018-12,0.0,0.0,0.0,0.0,30.0,10.0,30.0,30.0,0.0
2019-01,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2019-02,0.0,0.0,10.0,30.0,0.0,0.0,30.0,30.0,0.0
2019-03,30.0,30.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0
2019-04,0.0,30.0,0.0,0.0,30.0,30.0,0.0,10.0,0.0
2019-05,30.0,0.0,30.0,0.0,10.0,30.0,0.0,0.0,0.0
2019-06,0.0,10.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2019-07,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0
2019-08,30.0,0.0,30.0,0.0,10.0,0.0,30.0,0.0,0.0
2019-09,0.0,0.0,0.0,0.0,30.0,30.0,10.0,30.0,0.0
2019-10,0.0,30.0,0.0,0.0,10.0,30.0,0.0,30.0,0.0
2019-11,0.0,30.0,10.0,30.0,0.0,0.0,0.0,30.0,0.0
2019-12,10.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0
2020-01,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0
2020-02,10.0,30.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0
2020-03,30.0,30.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
2020-04,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2020-05,0.0,30.0,0.0,0.0,10.0,30.0,0.0,30.0,0.0
2020-06,0.0,10.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2020-07,10.0,30.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0
2020-08,30.0,30.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0
2020-09,0.0,0.0,30.0,10.0,0.0,30.0,0.0,30.0,0.0
2020-10,10.0,30.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0
2020-11,0.0,0.0,0.0,30.0,30.0,10.0,30.0,0.0,0.0
2020-12,0.0,30.0,0.0,30.0,0.0,30.0,0.0,10.0,0.0
2021-01,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2021-02,0.0,0.0,0.0,30.0,30.0,0.0,30.0,10.0,0.0
2021-03,0.0,0.0,30.0,0.0,10.0,30.0,0.0,30.0,0.0
2021-04,30.0,30.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0
2021-05,0.0,0.0,0.0,0.0,10.0,30.0,30.0,30.0,0.0
2021-06,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2021-07,30.0,0.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0
2021-08,30.0,30.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0
2021-09,10.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0
2021-10,30.0,30.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
2021-11,30.0,30.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0
2021-12,0.0,0.0,0.0,0.0,30.0,10.0,30.0,30.0,0.0
2022-01,0.0,0.0,30.0,0.0,0.0,10.0,30.0,30.0,0.0
2022-02,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2022-03,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0
2022-04,0.0,0.0,30.0,0.0,0.0,10.0,30.0,30.0,0.0
2022-05,0.0,0.0,0.0,0.0,30.0,30.0,10.0,30.0,0.0
2022-06,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
2022-07,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2022-08,10.0,0.0,30.0,30.0,0.0,0.0,0.0,30.0,0.0
2022-09,0.0,0.0,10.0,0.0,30.0,30.0,30.0,0.0,0.0
2022-10,0.0,0.0,30.0,30.0,0.0,10.0,0.0,30.0,0.0
2022-11,0.0,0.0,0.0,30.0,30.0,10.0,30.0,0.0,0.0
