,SP500,NASDAQ,Dow,Russell2000,Euro50,DAX,CAC,ISEQ20
2017-11,10.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0
2017-12,30.0,30.0,23.01,16.99,0.0,0.0,0.0,0.0
2018-01,30.0,0.0,10.0,30.0,0.0,0.0,0.0,30.0
2018-02,30.0,30.0,0.0,30.0,0.0,0.0,10.0,0.0
2018-03,0.0,0.0,0.0,30.0,30.0,10.0,0.0,30.0
2018-04,30.0,30.0,29.02,0.0,0.0,0.0,10.98,0.0
2018-05,30.0,30.0,10.68,0.0,0.0,0.0,29.32,0.0
2018-06,30.0,30.0,0.0,30.0,10.0,0.0,0.0,0.0
2018-07,10.0,30.0,0.0,30.0,0.0,0.0,0.0,30.0
2018-08,30.0,0.0,29.82,0.0,10.18,0.0,30.0,0.0
2018-09,30.0,25.29,30.0,0.0,0.0,0.0,14.71,0.0
2018-10,30.0,0.0,30.0,0.0,10.0,0.0,0.0,30.0
2018-11,30.0,30.0,30.0,0.34,0.0,0.0,0.0,9.66
2018-12,0.0,0.0,0.0,0.0,30.0,10.0,30.0,30.0
2019-01,30.0,10.0,30.0,0.0,0.0,0.0,30.0,0.0
2019-02,30.0,30.0,30.0,0.0,0.0,10.0,0.0,0.0
2019-03,30.0,30.0,14.24,25.76,0.0,0.0,0.0,0.0
2019-04,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2019-05,30.0,0.0,30.0,0.0,10.0,30.0,0.0,0.0
2019-06,30.0,30.0,10.0,0.0,0.0,0.0,0.0,30.0
2019-07,30.0,30.0,17.53,0.0,0.0,0.0,22.47,0.0
2019-08,30.0,0.0,30.0,0.0,10.0,0.0,30.0,0.0
2019-09,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2019-10,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2019-11,30.0,30.0,30.0,0.0,0.0,0.0,10.0,0.0
2019-12,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2020-01,30.0,30.0,30.0,0.0,0.0,10.0,0.0,0.0
2020-02,0.0,30.0,0.0,0.0,10.0,30.0,0.0,30.0
2020-03,30.0,30.0,30.0,0.0,10.0,0.0,0.0,0.0
2020-04,0.0,0.0,24.54,0.0,30.0,15.46,30.0,0.0
2020-05,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2020-06,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0
2020-07,10.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0
2020-08,30.0,0.0,0.0,30.0,10.0,0.0,30.0,0.0
2020-09,0.0,0.0,30.0,10.0,0.0,30.0,0.0,30.0
2020-10,10.0,30.0,0.0,30.0,0.0,0.0,0.0,30.0
2020-11,30.0,30.0,30.0,0.0,0.0,0.0,0.0,10.0
2020-12,30.0,30.0,30.0,0.0,0.0,0.0,10.0,0.0
2021-01,30.0,30.0,19.08,20.92,0.0,0.0,0.0,0.0
2021-02,30.0,30.0,30.0,0.0,0.0,10.0,0.0,0.0
2021-03,30.0,30.0,0.0,30.0,0.0,0.0,10.0,0.0
2021-04,10.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0
2021-05,30.0,28.24,30.0,0.0,0.0,0.0,11.76,0.0
2021-06,30.0,3.94,30.0,6.06,0.0,0.0,30.0,0.0
2021-07,30.0,30.0,24.09,15.91,0.0,0.0,0.0,0.0
2021-08,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2021-09,0.0,0.0,30.0,30.0,10.0,0.0,30.0,0.0
2021-10,0.0,10.0,0.0,30.0,0.0,30.0,0.0,30.0
2021-11,30.0,30.0,10.0,0.0,0.0,0.0,30.0,0.0
2021-12,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0
2022-01,0.0,0.0,30.0,0.0,0.0,30.0,30.0,10.0
2022-02,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0
2022-03,30.0,30.0,18.43,0.0,0.0,0.0,0.0,21.57
2022-04,0.0,0.0,30.0,0.0,0.0,10.0,30.0,30.0
2022-05,30.0,18.05,30.0,0.0,0.0,21.95,0.0,0.0
2022-06,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0
2022-07,10.0,0.0,30.0,0.0,30.0,30.0,0.0,0.0
2022-08,10.0,0.0,30.0,30.0,0.0,0.0,0.0,30.0
2022-09,0.0,0.0,10.0,0.0,30.0,30.0,30.0,0.0
2022-10,30.0,30.0,0.0,30.0,0.0,0.0,10.0,0.0
2022-11,0.0,0.0,5.23,30.0,30.0,4.77,30.0,0.0
